Ticker,Inventory,Working Capital,Total Assets,Current Assets,Current Liabilities,Cash And Cash Equivalents,Total Debt,Stockholders Equity,Invested Capital,Reconciled Cost Of Revenue,Operating Revenue,Ebitda,Ebit,Interest Expense,Gross Profit,Net Income,mean,count
WTW,,1929666666.6666667,35090000000.0,18208000000.0,16278333333.333334,2595666666.6666665,5896000000.0,11365333333.333334,16346333333.333334,5157666666.666667,8826333333.333334,2537000000.0,1874666666.6666667,221000000.0,3668000000.0,2075666666.6666667,0.7541666666666668,12.0
WU,,166000000.0,8938700000.0,3229000000.0,3063000000.0,1539366666.6666667,3043433333.3333335,340000000.0,3237466666.6666665,2783100000.0,4793766666.666667,1247233333.3333333,1041366666.6666666,108333333.33333333,2010666666.6666667,820233333.3333334,0.2316666666666666,12.0
WULF,,-53654500.0,173846000.0,10224500.0,63879000.0,3789500.0,64655000.0,73010000.0,132534000.0,10780000.0,15033000.0,-38829000.0,-45799000.0,24679000.0,3950000.0,-90791000.0,5.0,1.0
WVE,,78127000.0,210877000.0,163714333.33333334,85587333.33333333,141186000.0,32278333.333333332,23395000.0,23395000.0,,21563333.333333332,-137727000.0,-147704333.33333334,,,-144659333.33333334,,
WVVI,19655407.333333332,23355540.666666668,89849813.0,33076806.333333332,9721265.666666666,9361905.333333334,14302966.333333334,64715285.0,40245529.0,12942084.0,31368289.333333332,4909440.0,2882644.0,391026.0,18069848.333333332,1731322.3333333333,,
WVVIP,19655407.333333332,23355540.666666668,89849813.0,33076806.333333332,9721265.666666666,9361905.333333334,14302966.333333334,64715285.0,40245529.0,12942084.0,31368289.333333332,4909440.0,2882644.0,391026.0,18069848.333333332,1731322.3333333333,0.22,3.0
WW,30183333.333333332,28635666.666666668,1312846000.0,283898666.6666667,255263000.0,166002333.33333334,1546936000.0,-562810000.0,879252666.6666666,501079000.0,1209708000.0,79355000.0,31679000.0,97453333.33333333,708629000.0,-38221333.333333336,,
WWD,457400333.3333333,896618333.3333334,3933595333.3333335,1329185666.6666667,432567333.3333333,234724000.0,800510333.3333334,2036193333.3333333,2819776333.3333335,1802560333.3333333,2374762333.3333335,404508666.6666667,277405333.3333333,34879333.333333336,572202000.0,206914000.0,0.16124999999999998,12.0
WWW,451266666.6666667,265766666.66666666,2405500000.0,1024400000.0,758633333.3333334,213533333.33333334,1120266666.6666667,503866666.6666667,1452966666.6666667,1351633333.3333333,2296933333.3333335,-42600000.0,-76133333.33333333,42766666.666666664,945300000.0,-85533333.33333333,0.10000000000000002,12.0
WY,504333333.3333333,1282000000.0,17101000000.0,2496666666.6666665,1214666666.6666667,1318333333.3333333,5233000000.0,10082333333.333334,15291333333.333334,6038000000.0,9305666666.666666,3019333333.3333335,2543000000.0,342000000.0,3267666666.6666665,1761333333.3333333,0.3216666666666667,12.0
WYNN,68782000.0,1912820000.0,13271824333.333334,3572883666.6666665,1660063666.6666667,3218334000.0,12990214333.333334,-439084333.3333333,11933307333.333334,2230674000.0,3205450000.0,157625333.33333334,-553635333.3333334,604307000.0,974776000.0,-1082295666.6666667,1.0,1.0
X,1990333333.3333333,2994333333.3333335,16444333333.333334,6483333333.333333,3489000000.0,2670333333.3333335,4441666666.666667,7671333333.333333,11923000000.0,13621666666.666666,17027000000.0,3091000000.0,2349333333.3333335,250666666.66666666,3405333333.3333335,1844333333.3333333,0.02666666666666666,12.0
XAIR,175000.0,45799754.666666664,55719581.333333336,52260972.333333336,6461217.666666667,44900758.333333336,5097782.0,40419815.0,44029956.0,0.0,754368.0,-28208619.333333332,-28528087.0,482514.3333333333,0.0,-28664834.666666668,,
XBIO,,13771703.666666666,15905048.333333334,14915432.666666666,1143729.0,14289615.666666666,,14752305.0,14749531.0,,1101519.6666666667,-5689282.0,-5719736.0,,,-7696999.333333333,,
XBIOW,,13771703.666666666,15905048.333333334,14915432.666666666,1143729.0,14289615.666666666,,14752305.0,14749531.0,,1101519.6666666667,-5689282.0,-5719736.0,,,-7696999.333333333,,
XBIT,,260361666.66666666,291674666.6666667,264196000.0,3834333.3333333335,210551666.66666666,,286142000.0,286142000.0,13673000.0,22126333.333333332,-23449333.333333332,-25949333.333333332,,8460666.666666666,-20511666.666666668,2.5,1.0
XBP,4664000.0,-29539333.333333332,137177666.66666666,73473666.66666667,103013000.0,6544666.666666667,46591666.666666664,-24236000.0,9199666.666666666,159180666.66666666,201328666.66666666,-4804666.666666667,-10102666.666666666,2914000.0,42226666.666666664,-16344666.666666666,,
XBPEW,4664000.0,-29539333.333333332,137177666.66666666,73473666.66666667,103013000.0,6544666.666666667,46591666.666666664,-24236000.0,9199666.666666666,159180666.66666666,201328666.66666666,-4804666.666666667,-10102666.666666666,2914000.0,42226666.666666664,-16344666.666666666,,
XCUR,,30199666.666666668,62880000.0,46679666.666666664,16480000.0,25494333.333333332,15604333.333333334,29220000.0,37040666.666666664,,14985333.333333334,-27734000.0,-29428000.0,953000.0,,-30450666.666666668,,
